Job Title,Company Name,Salary Estimate,Rating,Job Description,Skills,Location,Founded,Size
Data Science and CRO Analyst,AYKO,£47K,4.0,"Show moreLooking for the next Data Science and CRO superstar to join our dynamic and vibrant Marketing team!
Status
Open
Location
Leeds Head Office
Team
Marketing
Available Openings
1 (out of 1)
Posted",,"Leeds, England",--,1 to 50 Employees
Head of Data Science,"Aggreko, LLC",null,3.6,"Show moreWe’re the global leader in providing energy solutions that help businesses grow and communities thrive. We work as a team, and we’re proud of the difference we make to customers, local communities, and towards a sustainable future for the world.
We’re looking for an experienced Head of Data Science to join our team in Glasgow, where you’ll lead a group of talented data professionals in creating innovative, data-driven insights that shape our business strategy.
Why Aggreko? Here are some of the perks and rewards:
Comprehensive benefits package, including pension plan, bonus opportunities, and Life Assurance
Flexible holiday options with the ability to ‘buy’ or ‘sell’ days",,"Glasgow, Scotland",1962,5001 to 10000 Employees
Data Science Lead,Roke Manor Research Limited,£47K,3.9,"Show moreAs a Data Science Lead, you’ll lead on delivering technical solutions for Roke’s National Security Customers, focussing on Data Services and defining novel technical approaches. Your teams will include a mix of technical abilities including data engineering, machine learning, cloud, DevOps and software engineering skills.
Roke are a leading technology & engineering company with clients spanning National Security, Defence and Industry; working alongside our customers to solve their complex and unique challenges by bringing the physical and the digital together.
As a Data Science Lead, customer engagement will be a large part of your role, playing a key part in the customer consulting, presales and business development strategy; with the opportunity to prepare and contribute to technical proposals and bids.


Ideally experience in a number of areas, including some of the below;",,"Manchester, England",1956,501 to 1000 Employees
Data Science Engineer,DraftKings,£62K,3.9,"Show moreWe’re defining what it means to build and deliver the most extraordinary sports and entertainment experiences. Our global team is trailblazing new markets, developing cutting-edge products, and shaping the future of responsible gaming.
Here, “impossible” isn’t part of our vocabulary. You’ll face some of the toughest but most rewarding challenges of your career. They’re worth it. Channeling your inner grit will accelerate your growth, help us win as a team, and create unforgettable moments for our customers.
The Crown Is Yours
DraftKings is a leader in the digital sports entertainment and gaming industry. We provide a world-class, immersive experience for our users and are at the forefront of technological innovation in the industry. Our Sports Intelligence team plays a critical role in developing solutions that power our platform and drive our business forward. We are forming a new unit focused on driving automation and efficiency within our Sportsbook. You’ll build complex low latency systems to support data science decision-making at scale, to unlock more value for the business. You will be responsible for developing advanced models and algorithms, analyzing large datasets, and providing actionable insights to enhance our product offerings and business operations.",,"London, England",2012,1001 to 5000 Employees
Data Science Management Consultant,GHD,£59K,3.7,"Show moreGHD Advisory Insights & Analytics team – Data Science Management Consultant
Join a global professional services leader, committed to solving the world’s biggest challenges across energy, transport, utilities and urbanisation.
We are seeking curious minds with a passion for data-driven problem solving to join and shape our growing Insights & Analytics team. You will support the delivery of innovative solutions across sectors such as rail, highways, telecoms, and future energy, to improve infrastructure for generations to come.
Your responsibilities will vary across the project lifecycle, with opportunities to contribute to our continuously growing and improving team. We embrace a start-up mentality within a global corporate framework, encouraging fresh ideas and agile thinking. This role provides you with the freedom to explore your interests across diverse projects and sectors, with support and encouragement to develop your skills and experience.",,"London, England",1928,10000+ Employees
Data Science Manager,Radius Payment Solutions,£46K,2.9,"Show moreJob Advert

At Radius, we provide best in class fleet and connectivity solutions to businesses of all sizes.

Our mission is to help businesses adapt to the future by building solutions for a more sustainable, connected future.

Our comprehensive portfolio of solutions includes fuel cards, telematics, telecoms, insurance, vehicle leasing, EV charging, business energy, and expense management.

We are proud to have over 400,000 customers worldwide, over 50 offices across 5 continents, and over 2,800 talented Radius colleagues.",,"Crewe, England",1990,1001 to 5000 Employees
CTPHQ - Infrastructure Engineer - Grade H/I - Data Science Unit,Greater Manchester Police,£39K,3.2,"Show moreNumber of Posts
1
Advertised
INTERNAL AND EXTERNAL APPLICANTS
Branch/Division
Counter Terrorism Policing North West
Location
Force Headquarters - Central Park Complex
Grade
Grade H/I
Rank",,"Manchester, England",2000,5001 to 10000 Employees
"Data Science Director, Growth",Airwallex,£91K,3.9,"Show moreAbout Airwallex
Airwallex is the only unified payments and financial platform for global businesses. Powered by our unique combination of proprietary infrastructure and software, we empower over 100,000 businesses worldwide – including Brex, Rippling, Navan, Qantas, SHEIN and many more – with fully integrated solutions to manage everything from business accounts, payments, spend management and treasury, to embedded finance at a global scale.
Proudly founded in Melbourne, we have a team of over 1,500 of the brightest and most innovative people in tech located across more than 20 offices across the globe. Valued at US$5.6 billion and backed by world-leading investors including Sequoia, Lone Pine, Greenoaks, DST Global, Salesforce Ventures and Mastercard, Airwallex is leading the charge in building the global payments and financial platform of the future. If you're ready to do the most ambitious work of your career, join us.",,"London, England",2015,1001 to 5000 Employees
Director of Data Science,Zapp,£57K,3.0,"Show moreDirector of Data Science
South West London - Onsite (5 days)
As the Director of Data Science, you will shape Zapp's data strategy, driving actionable insights from our vast and diverse datasets.
You will build and lead a team of talented data scientists, working closely with cross-functional teams to develop and implement data-driven solutions that contribute to the company's overall success.
Responsibilities:
Leadership and Strategy:
Collaborate with executive leadership to integrate data science into the broader business strategy.",,"London, England",2020,1001 to 5000 Employees
University Teacher in Geographic Data Science Grade 7 (Maternity Cover),University of Liverpool,£42K,4.3,"Show moreCommitment to Diversity
The University of Liverpool is committed to enhancing workforce diversity. We actively seek to attract, develop, and retain colleagues with diverse backgrounds and perspectives. We welcome applications from all genders/gender identities, Black, Asian, or Minority Ethnic backgrounds, individuals living with a disability, and members of the LGBTQIA+ community.
Arising from a period of leave for a colleague, the Department of Geography and Planning wishes to recruit a University Teacher in Geographic Data Science (Quantitative Human Geography) commencing January 2025.

The School of Environmental Science is comprised of two departments: Department of Geography and Planning and the Department of Earth, Ocean and Ecological Sciences. We are looking for a candidate whose teaching expertise and experience encompasses geographic data science (human geography). The candidates research and teaching should align with Geographic Data Science Lab (GDSL) research group and links to other research groups across the school. We are especially interested in applicants with teaching and research expertise in Geographic Information Science (GIS), the application of geographic data science, and one or more of the following priority areas: retail and consumer data, population, health, human mobility, transport, and spatial inequalities. The candidate would have responsibility for coordinating and delivering modules that span Geographic Data Science amongst other duties (e.g. tutorials, field teaching).

We particularly welcome applications from scholars who identify with groups who continue to be underrepresented and who face barriers to inclusion in higher education. We believe that a diverse and supportive environment, bringing different perspectives to our work and allowing people to blossom is the best platform for excellent teaching.

You should have completed or be about to obtain a PhD in Quantitative Human Geography, Demography, Economics or related Social Science discipline.

To cover a period of maternity leave from January 2025 until August 2025 (with the possibility of extending).",,"Liverpool, England",--,1001 to 5000 Employees
Data Science Associate AIOps Engineer,Aviva,null,3.9,"Show moreData Science Associate AIOps Engineer
Salary Circa £40,000
Locations Bristol and Norwich
We are seeking a motivated Associate AIOps Engineer to join our growing and dynamic team. The role will focus on building and advancing our Data Science and AI technology stack, leveraging modern day cloud services, and driving CI/CD & automation practices.
The ideal candidate should have a solid understanding of DevOps and AIOps principles, along with knowledge in AWS and Azure infrastructure services, with strong focus on containerisation and serverless computing.
A bit about the job:",,"Bristol, England",1861,10000+ Employees
"Global COE Lead, AI and Data Science",Cervello Inc,£87K,4.2,"Show moreSummary:
As the Global COE Lead for AI and Data Science you will lead our Data Science COE as part of the Artificial Intelligence and Data Practice. You will help to further define and develop Cervello’s methodologies, best-practices, standards, and service offerings in the areas of data analytics, data mining, artificial intelligence, and machine learning. We are looking for a strong leader with a deep background in large Enterprises develop their AI and Data Science capabilities while leading programs and implementations of various sizes.

Qualifications:




We are Cervello. We believe in the power of connected data. We are laser focused on helping organizations harness the interconnectedness of digital, data and decision-making. We are problem solvers and builders focused on helping our clients win with data. Our culture is cool and innovative. Our environment is casual and conducive to collaboration and problem solving. We take our work seriously but not ourselves. It’s the perfect balance of freedom and accountability. If you want to be part of something great – join us!


Cervello prides itself on providing a culture that allows employees to bring their best selves to work every day. Our people can feel comfortable, confident, and joyful to do great things for our firm, our teams, and our clients. Cervello aims to build diverse capabilities to help our clients solve their most mission critical problems. Cervello is committed to building a diverse, unbiased and inclusive workforce. Cervello is an equal opportunity employer; we recruit, hire, train, promote, develop, and provide other conditions of employment without regard to a person’s gender identity or expression, sexual orientation, race, religion, age, national origin, disability, marital status, pregnancy status, veteran status, genetic information or any other differences consistent with applicable laws. This includes providing reasonable accommodation for disabilities, or religious beliefs and practices. Members of communities historically underrepresented in analytics and consulting are encouraged to apply.",,"London, England",2009,51 to 200 Employees
P401 Asbestos Laboratory Analysts,Pennington Choices,null,3.8,"Show moreWe have ambitious plans for the future and are currently looking for the best talent to join us. We need people who can think differently about how to solve problems. We are currently looking for Asbestos Laboratory Technicians to join our team in Warrington and Bromley.

About this role
As an Asbestos Laboratory Technician with Pennington Choices, you will support the business in delivering services to clients, your principal role will be to book in samples and sample data, analysis of samples, assisting in the weekly running of the laboratory and production of certificates to UKAS accredited standards.
Summary of duties to include but not limited to:",,"Bromley, England",2000,201 to 500 Employees
"Senior Data Science Manager, Operations",Monzo,£120K,3.9,"Show moreWe're on a mission to make money work for everyone.
We're waving goodbye to the complicated and confusing ways of traditional banking.
With our hot coral cards and get-paid-early feature, combined with financial education on social media and our award winning customer service, we have a long history of creating magical moments for our customers!
We're not about selling products - we want to solve problems and change lives through Monzo ❤️
Hear from our team about what it's like working at Monzo ✨

London | UK remote | £110,000 to £130,000 + Stock Options + Benefits
| Hear from the team",,"London, England",2015,1001 to 5000 Employees
"Reading, England",PGSM Consulting,£52K,null,"Show moreYou'll closely collaborate with an engineering team to bring models into toolkits, and business developers to impress the client

AI Scientists are expected to have strong publications or projects showing clear evidence of high-quality research and innovation in fields directly related to AI and proven experience and ability to implement high-performance AI solutions.
The responsibilities and tasks cover in particular:

Analyze data to discover patterns, find opportunities, and develop and apply innovative ML algorithms.",,null,--,Unknown
Head of Treasury Analytics & Data Science,Remitly,null,5.0,"Show moreJob Description:
Remitly's vision is to transform lives with trusted financial services that transcend borders. Since 2011, we have been tirelessly delivering on our promises to people who send money around the world. Today, we are reimagining global financial services and building products that extend beyond traditional barriers to give customers access to more of the services they need, no matter where they call home. Join over 2,700 employees worldwide who are growing their careers with purpose and connection with our customers while having a positive impact on millions of people around the globe.
About the Role:
We're seeking an experienced leader to head our Data Science & Analytics team, within our Treasury department. As the Head of Treasury Data Science & Analytics, you'll play a pivotal role in driving data-driven growth decisions and innovative solutions that align with our mission. The position is hybrid onsite in our London office, with a global team and regular travel to Seattle.",,"London, England",2011,1001 to 5000 Employees
Principal Clinical Data Science Programmer,Icon plc,£49K,3.7,"Show morePrincipal Clinical Data Science Programmer - Office based - Swansea
ICON plc is a world-leading healthcare intelligence and clinical research organization. We’re proud to foster an inclusive environment driving innovation and excellence, and we welcome you to join us on our mission to shape the future of clinical development
Principal Clinical Data Sciences Programmer
ICON plc is a world-leading healthcare intelligence and clinical research organisation. From molecule to medicine, we advance clinical research providing outsourced services to pharmaceutical, biotechnology, medical device and government and public health organisations.
With our patients at the centre of all that we do, we help to accelerate the development of drugs and devices that save lives and improve quality of life.",,"Swansea, Wales",1990,10000+ Employees
Data Science Manager,Kindred Group,£88K,3.8,"Show moreAbout Kindred
Kindred Group is a digital entertainment pioneer bringing together nine successful online gambling brands, forming one of the largest online gambling groups in the world. Our purpose is to transform gambling by being a trusted source of entertainment that contributes positively to society. Our goal is that 0% revenue is derived from harmful gambling.
Our global team of more than 2000 people represents 70+ nationalities. When you join Kindred, you'll be part of a collaborative, diverse and inclusive team that has your best interest at heart. We are a trusting company that knows the value of a healthy work-life balance. We offer a wide range of benefits, along with annual bonus, which is tied to both company and your individual performance.",,"London, England",1997,1001 to 5000 Employees
"Senior Data Science Manager, Business Banking",Monzo,£120K,3.9,"Show moreWe're on a mission to make money work for everyone.
We're waving goodbye to the complicated and confusing ways of traditional banking.
With our hot coral cards and get-paid-early feature, combined with financial education on social media and our award winning customer service, we have a long history of creating magical moments for our customers!
We're not about selling products - we want to solve problems and change lives through Monzo ❤️
Hear from our team about what it's like working at Monzo ✨

London | UK remote | £110,000 to £130,000 + Stock Options + Benefits
About our Business Banking Team:",,"London, England",2015,1001 to 5000 Employees
"Towcester, England",Initiate,£32K,null,"Show moreStart: 2025 start

Initiate
Initiate is a global market access and health economics consultancy working with novel products designed to help people living with rare or life-limiting disorders.

Our core values are collaboration, empowerment, integrity, and pragmatism. We seek to recruit extraordinary talent in those who not only hold these same values but have a passion to succeed, deliver and grow.

Job Purpose: To be a key member of our evidence synthesis team, which involves supporting clients to perform evidence generation and synthesis activities such as collating published evidence through scoping, targeted and systematic reviews and quantitative synthesis of estimates through meta-analyses and treatment comparisons. Activities will also include work related to epidemiological studies, disease management, unmet medical needs, the burden of disease, cost of illness, relative efficacy and safety, supporting strategic pricing and marketing, value proposition and communication. Experience in conducting systematic reviews would be desirable.",,null,2004,1 to 50 Employees
Postdoctoral Research Associate in Geographic Data Science Grade 7,University of Liverpool,£42K,4.3,"Show moreThis is a new post at University of Liverpool (UoL) to support delivery of the MRC-funded Mental Health Platform Hub titled: “Building recovery and resilience in severe mental illness (SMI): Leveraging the role of social determinants in illness trajectories and interventions”. The aim of this hub is to improve understanding of the role of social determinants, their mechanisms of action on illness trajectories, and how these can be addressed in “social treatments” to support people with SMIs in managing their difficulties and facilitate medium-to-long term recovery. The hub involves a multi-disciplinary team from different institutions, including team including experienced psychologists, clinicians, social scientists, geographers and economists: Professor Francisco Rowe (UoL), Professor Jennifer Lau (QML - Chief Co-investigator), Professor Craig Morgan & Dr Raquel Iniesta (KCL), Professor Domenico Giacco (UOW), Professor Rose Mccabe (CITY), Professor Veena Kumari (Brunel), Dr Alison Copeland (NU), Professor Richard Byng & Dr Kerryn Husk (UOP), Tanya Mackay & John Gibson (McPinn) and Emmanuel Gattora (Citizens UK).

The post holder will support the delivery of the project focusing on analysing large and complex geospatial datasets and electronic health records, developing small area statistical indicators, disseminating research findings through preparing research papers and delivering presentations at national and international conferences, and actively engaging with project activities. The post-holder will be to support Prof Francisco Rowe in day-to-day running of the project and will work with the project team.

The post-holder will join the Geographic Data Science Lab in the School of Environmental Sciences at the UoL. They will be expected to contribute to the delivery of high-quality and to the intellectual life of the lab and wider institution, and research at the intersection of geography, data science and mental health. They will have opportunities to make contributions to student education and experience through the delivery of teaching activities in the subject area of geographic data science and undertaking student supervisory roles at the PhD and MSc level. They will also, as agreed with the line manager, contribute to the administration of School/lab and/or university teaching and research activities.

We are keen to appoint people not just based on their past achievements, but also on their future potential and drawing on the widest possible range of talents and backgrounds; applications from under-represented groups are encouraged. We believe that a diverse and supportive environment, bringing different perspectives to our work and allowing people to blossom, is the best platform for excellent research.

Commitment to Diversity
The University of Liverpool is committed to enhancing workforce diversity. We actively seek to attract, develop, and retain colleagues with diverse backgrounds and perspectives. We welcome applications from all genders/gender identities, Black, Asian, or Minority Ethnic backgrounds, individuals living with a disability, and members of the LGBTQIA+ community.
If you are still awaiting your PhD to be awarded you will be appointed at Grade 6, spine point 30. Upon written confirmation that you have been awarded your PhD, your salary will be increased to Grade 7, spine point 31.",,"Liverpool, England",--,1001 to 5000 Employees
"Manager, Data Science Engineering",DraftKings,null,3.9,"Show moreWe’re defining what it means to build and deliver the most extraordinary sports and entertainment experiences. Our global team is trailblazing new markets, developing cutting-edge products, and shaping the future of responsible gaming.
Here, “impossible” isn’t part of our vocabulary. You’ll face some of the toughest but most rewarding challenges of your career. They’re worth it. Channeling your inner grit will accelerate your growth, help us win as a team, and create unforgettable moments for our customers.
The Crown Is Yours
Our team comprises sports modelling experts and data science technologists, coming together to develop innovative DS products that deliver incremental value on the Sportsbook platform at DraftKings.",,"London, England",2012,1001 to 5000 Employees
Bioinformatician,Cranleigh STEM,£60K,5.0,"Show moreRole Overview:
We are looking for a skilled Bioinformatician to join our Data Team and contribute to process validation efforts. In this key position, you will be responsible for optimizing sample and data processing while validating bioinformatics pipelines. You’ll work closely with the development and integration of bioinformatics workflows into our existing pipelines, built using Nextflow. Additionally, you will conduct technical analyses to assess data quality and support wet lab process improvements, as well as explore mutational and epigenetic signatures for biomarker identification.
Main Duties & Responsibilities:
Assist in developing bioinformatics pipelines for processing omics data (e.g., FASTQ to VCF)",,"Cambridge, East of England, England",2001,Unknown
Data Science Degree Apprenticeship - Level 6 - London - News & Current Affairs,BBC,null,3.9,"Show moreEarly Careers - Digital, Data & Technology
Apprenticeship
London, GB, W1A 1AA
BBC PUBLIC SERVICE B'CAST
Job Closing Date: 28/11/2024
THE ROLE
Salary: £21,840 (+ £5,318 London Living Allowance)
Contract type: Fixed Term Contract
Location: London

An apprenticeship at the BBC gives you the opportunity to kick-start your career in a job you'll love. We’re the industry leaders in early careers and are committed to your skills and talent development. As one of the world’s most creative and technologically advanced organisations for the last 100 years, an apprenticeship at the BBC means the opportunity to learn from the most respected and experienced professionals in the business.",,"London, England",1922,10000+ Employees
Senior Technical Project Manager (Data Science),BBC,null,3.9,"Show moreData & Analytics
Permanent - Full Time
Edinburgh, GB, EH99 1SP Newcastle-upon-Tyne, GB, NE991RN Salford, GB, M50 2QH
BBC PUBLIC SERVICE B'CAST
Job Closing Date: 20/11/2024
THE ROLE
Job Band
Band: D
Contract type: Permanent
Location: Flexible, Salford, Newcastle or London
Salary: Up to £75,000 depending on relevant skills, knowledge and experience. The expected salary range for this role reflects internal benchmarking and external market insights.

Our comprehensive benefits package includes:",,"Edinburgh, Scotland",1922,10000+ Employees
Data Science Manager,Weber Shandwick,£59K,3.7,"Show moreWho is Weber Shandwick?

We create cultural value and help brands navigate the ever-changing age of earned: an age where consumers actively say no to advertising; an age where everyone is an influencer that can make or break your brand; an age where content can be turned into commercial opportunity. Our talented team builds brands by finding connection points in the real world. We energise the right mix of talent, using the right platforms and latest technology to choreograph stories that make a real and meaningful impact for some of the world's leading brands and businesses e.g. HSBC, Ikea, Unilever and eBay to name a few.

We earn affection, attention, affinity and purchase by delivering value to people around the world, with deep specialisms across food & drink, travel & tourism, consumer tech, consumer health, automotive, sports sponsorship, entertainment & lifestyle and energy. We are known for:",,"London, England",1921,1001 to 5000 Employees
Product Manager - Life Science Data Products,Hanson Wade Group,£49K,3.5,"Show moreWe're looking for someone to take on a strategic product management role that will be instrumental in further growing Hanson Wade Group’s Data products business based on an understanding of market and client requirements.
Reporting to the Head of Product, this position is responsible for determining where and how to invest in specific capabilities across our portfolio to provide the best return on investment for Hanson Wade Group aligned to overall business and product strategies.

About the role:
The primary responsibility is to enrich our understanding of customer and market needs, to align our product offerings to meet those market problems, with an initial focus on predictive analytical tools and visualisations, that help to reduce risk in the drug development process and enable strategic and operational investment decisions. To represent those needs in the form of product positioning, use cases, product features and high level product requirements with a view to identify and maximise the opportunities to grow revenue, drive penetration across key accounts and promote customer loyalty/satisfaction.",,"London, England",2008,201 to 500 Employees
Senior Manager - Data Science,Simon-Kucher & Partners,£58K,3.9,"Show moreSenior Manager - Data Science
In the United Kingdom- London

Simon-Kucher is a global consultancy with more than 2,000 employees in 30 countries. Our sole focus is on unlocking better growth that drives measurable revenue and profit for our clients. We achieve this by optimizing every lever of their commercial strategy – product, price, innovation, marketing, and sales – based on deep insights into what customers want and value. With nearly 40 years of experience in monetization topics of all kinds, we are regarded as the world’s leading pricing and growth specialist.
This is an exciting opportunity to be part of the Data Science team in our London office, predominantly focused on projects in the UK and the Netherlands. We work collaboratively with all parts of Simon-Kucher, and you will have the opportunity to work on projects including market reviews, revenue growth, pricing, marketing efficiency and digital strategy.",,"London, England",1985,1001 to 5000 Employees
"Consultant - Senior Consultant, Data Science and Machine Learning, AI & Data, Defence & Security",Deloitte,£40K,3.9,"Show moreBasic information
Location
Bristol, London, Manchester
Business Line
Technology & Transformation
Date published
25-Jul-2024
Req #
16330
Job description
Data Science and Machine Learning, AI & Data, Defence & Security",,"Bristol, England",1850,10000+ Employees
Transitional/Assistant/Associate Professor in AI and Data Science,University of Nottingham,£49K,4.1,"Show moreArea
Computer Science
Location
Jubilee Campus
Salary
RT 5 Extended: £41,421 to £56,921 per annum (pro-rata if applicable) depending on skills and experience. Salary progression beyond this scale is subject to performance.
RT6: £58, 596 to £71,797 per annum (pro-rata if applicable) depending on skills and experience. Salary progression beyond this scale is subject to performance.
Closing Date
Thursday 07 November 2024",,"Nottingham, England",1881,5001 to 10000 Employees
Environmental Spatial Data Manager,Centre for Ecology & Hydrology,£39K,3.5,"Show moreSalary - £37,405 to £39,694
Hybrid working (50/50)
1-year Fixed Term Appointment and Full-Time (37 hours per week)

Closing date for applications, Fri, 8th Nov 2024. We reserve the right to close this advert early if we find the right candidate, so we encourage you to apply early.
UKCEH is looking for an experienced Environmental Spatial Data Manager to join our team of talented individuals, contributing to scientific discovery and generating the data, insights and solutions that researchers, businesses and governments need to solve complex environmental challenges.
Working at UKCEH is rewarding. Our science makes a real difference, enabling people and the environment to prosper, and enriching society. We are the custodians of a wealth of environmental data, collected by UKCEH and its predecessors over the course of more than 60 years.",,"Bangor, Northern Ireland",1962,501 to 1000 Employees
Lecturer in Numerical Analysis and Data Science (T&R),The University of Manchester,£52K,4.1,"Show moreThe University invites applications for the above post, which is available from April 2025, or a mutually agreed alternative date. The post will be held in the Department of Mathematics, within the School of Natural Sciences.
Applicants should hold a PhD or equivalent in Numerical Analysis or Applied Mathematics and be able to demonstrate a strong research record (appropriate for career stage) at the interface between numerical analysis and machine learning, AI or other aspects of modern data science; as well as an ability to lecture a range of courses in numerical analysis, data science and related areas at both undergraduate and postgraduate level.
Candidates should provide a full academic CV, to which they should append:
(i) a 2-page research statement outlining their research record and future plans;",,"Manchester, England",1824,10000+ Employees
Data Analytics Lab Trainer,Ekascloud,£48K,5.0,"Show moreJob Type : Full-Time, Location : Tamil Nadu & Karnatak, INDIA
Experience : 2+ Year
Salary : 25,000/- Per Month To 35,000/- Per Month
Qualification : Bachelor's degree or higher in Computer Science, Statistics, Mathematics, or a related Certificate



Job Description
We are currently seeking a skilled and enthusiastic Data Analytics Lab Trainer to join our team. The ideal candidate will have a solid background in data analytics tools and technologies, including Power BI, Excel, SQL, and Python, along with experience in delivering hands-on training and lab sessions. As a Data Analytics Lab Trainer, you will play a crucial role in providing practical training and mentorship to individuals interested in mastering the art of data analysis and visualization.",,"London, England",2020,501 to 1000 Employees
"Cambridge, East of England, England",Cogentia Healthcare Consulting,£28K,null,"Show moreRESEARCH ANALYST - ROLES AND RESPONSIBILITIES
Location: Cambridge Office
Salary: Negotiable
Following a period of sustained growth, Cogentia is looking for a talented, ambitious and highly motivated
Research Analyst to join our team.
We are a specialist consulting company focused on Health Economics and Market Access within the Life
Sciences industry, an area that is of increasing importance to pharmaceutical, biotech and medtech
companies and to National Health Systems around the world where their products are used. We work with
a range of clients, across many different therapy areas and technologies.



associated processes and databases
pharmacology, pharmacy) and ideally a higher degree in a relevant subject area
biotech industry, or within a consultancy setting",,null,--,Unknown
Senior Data Science Engineer,Medtronic,£73K,3.8,"Show moreAt Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world.
A Day in the Life
Five billion people have no access to safe surgery and the Medtronic Digital Surgery Business is on a mission to change surgical care for the better through a portfolio of digital solutions. If you are looking for a real purpose behind what you do, this role is a genuine opportunity to make a difference.

The Medtronic Digital Surgery Business has created a digital data-driven ecosystem that uses the latest cutting-edge technologies like artificial intelligence, augmented reality and computer vision to modernize surgical training, orchestrate surgical teams in the operating room (OR) and deliver safer surgery around the world. You will be working in a start-up environment within a large corporate organization where you will be trusted to make important decisions, and your impact seen worldwide.





This position is eligible for a short-term incentive called the Medtronic Incentive Plan (MIP).",,"London, England",1949,10000+ Employees
Data Engineer (Zambia Evidence Lab),London School of Economics and Political Science,£48K,4.4,"Show moreData Engineer (Zambia Evidence Lab)
LSE is committed to building a diverse, equitable and truly inclusive university
International Growth Centre (IGC) and the Data Science Institute (DSI)
Data Engineer (Zambia Evidence Lab)
Fixed term contract to 30 September 2026
Salary from £42,429 to £50,656pa inclusive with potential to progress to £54,295pa inclusive of London allowance
The International Growth Centre (IGC) works with policymakers in developing countries to promote inclusive and sustainable growth through pathbreaking research. We are a global research centre with a network of world-leading researchers and in-country teams and initiatives working across Africa, South Asia, and the Middle East. Based at LSE and in partnership with the University of Oxford, we are majority funded by the UK Foreign, Commonwealth and Development Office (FCDO). We work to improve the productivity of people and firms as the key driver of sustainable economic development.",,"London, England",1895,1001 to 5000 Employees
"London, England",Materials Nexus,£49K,null,"Show moreCompany Description

Materials contribute to 50% of the world’s CO2 emissions, those critical to the net-zero transition being the biggest culprits. Our AI platform leverages quantum calculations to model and design novel materials that are cheaper, higher performing and more environmentally friendly. We are accelerating materials discovery from decades to months.
Case study: https://www.materialsnexus.com/news/magnex-rare-earth-free-permanent-magnet
Recent press: https://www.popularmechanics.com/science/green-tech/a61147476/ai-developed-magnet-free-of-rare-earth-metals/",,null,--,1 to 50 Employees
"Manager, Marketing Mix Modelling (MMM) & Data Science",Ekimetrics,£80K,4.2,"Show moreLondon – Manager, Strategy & Data Science in Marketing Mix Modelling (MMM)
Ekimetrics UK
Job Description
Ekimetrics is a leader in data science and AI-powered solutions. Since 2006, we’ve pioneered the use of AI and data science applied to unified marketing measurement and holistic business optimization aligned with sustainability performance.
Our goal: Combine high-impact AI and data science solutions for sustainable business performance.

At Ekimetrics, we have the ambition to help our clients rethink their business models by reconciling economic, environmental and social performance through data science.",,"London, England",2006,51 to 200 Employees
Data Science Lead,Datasource,£65K,3.0,"Show moreIntroduction
Our client are incredible passionate about providing data solutions to their clients within Defence and National Security and their enthusiasm has led to winning a number of key pieces of work that they are excited to deliver!
They are looking for a number of specialists within Data Science and Machine Learning to work closely with their clients to drive innovation using Data Science and Machine learning techniques!
This role would suit someone with equal passion for applying data science to holistically grow the practice and deliver cutting edge solutions to their clients! You must be comfortable leading client engagements, managing teams and account management as required.",,"Manchester, England",1981,1 to 50 Employees
Assistant Professor in Data Science,London School of Economics and Political Science,null,4.4,"Show moreAssistant Professor in Data Science
LSE is committed to building a diverse, equitable and truly inclusive university.
For this post, we particularly welcome applications from women and people from minority ethnic groups.

Department of Statistics

Assistant Professor in Data Science

Salary is no less than £64,552 per annum and the salary scale can be found on the LSE website",,"London, England",1895,1001 to 5000 Employees
Data Science Lead AIOps Engineer,Aviva,null,3.9,"Show moreData Science Lead AIOps Engineer
Salary Circa £60,000
Locations Bristol and Norwich

We are seeking an experienced and motivated Lead AIOps Engineer to join our growing and dynamic Data Science & AI platform team.
The role will play a key technical leadership role in building and advancing our Data Science and AI technology stack, leveraging modern day cloud services, and driving CI/CD & automation practices.
The ideal candidate should have a strong experience in DevOps and AIOps practices, including AWS and/or Azure infrastructure services, with strong focus on containerisation and serverless computing.",,"Bristol, England",1861,10000+ Employees
"Consultant, Data Science and Business Analyst, AI & Data, Defence & Security",Deloitte,£40K,3.9,"Show moreBasic information
Location
Bristol, London, Manchester
Business Line
Technology & Transformation
Date published
12-Jul-2024
Req #
16226
Job description
Connect to your Industry",,"Bristol, England",1850,10000+ Employees
Associate Director Data Science,Novartis,£58K,4.0,"Show moreSummary
Understands complex and critical business problems from a variety of stakeholders and business functions, formulate integrated analytical approach to mine data sources, employ statistical methods and machine learning algorithms to contribute solving unmet medical needs, discover actionable insights and automate process for reducing effort and time for repeated use. To manage the definition, implementation and adherence to the overall data lifecycle of enterprise data from data acquisition or creation through enrichment, consumption, retention, and retirement, enabling the availability of useful, clean, and accurate data throughout its usefull lifecycle. High agility to be able to work across various business domains. Integrate business presentations, smart visualization tools and contextual storytelling to translate findings back to business users with a clear impact.Independently set strategy, manage budget, ensuring appropriate staffing and coordinating projects within the area supervised. If managing a team: empowers the team and provides guidance and coaching, with limited guidance from more senior managers.",,"London, England",--,Unknown
